city,state_name,lat,lng,id
Waitsburg,Washington,46.2696,-118.1510,1840021173
Sunnyslope,Washington,47.4913,-120.3493,1840136960
South Cle Elum,Washington,47.1862,-120.9525,1840022304
Selah,Washington,46.6482,-120.5389,1840021149
Lind,Washington,46.9704,-118.6165,1840021134
Five Corners,Washington,45.6883,-122.5738,1840037869
Winthrop,Washington,48.4716,-120.1790,1840022272
Normandy Park,Washington,47.4344,-122.3436,1840019832
Home,Washington,47.2790,-122.7744,1840023831
Graham,Washington,47.0407,-122.2757,1840017365
Yacolt,Washington,45.8650,-122.4059,1840022333
Packwood,Washington,46.6085,-121.6702,1840025265
Queets,Washington,47.5314,-124.3385,1840037807
Finley,Washington,46.1697,-119.0446,1840017380
Northport,Washington,48.9159,-117.7796,1840022274
Medina,Washington,47.6256,-122.2338,1840019829
Browns Point,Washington,47.3036,-122.4369,1840037624
Summit,Washington,47.1694,-122.3628,1840018456
Albion,Washington,46.7916,-117.2511,1840021136
Sudden Valley,Washington,48.7199,-122.3468,1840037740
Bunk Foss,Washington,47.9618,-122.0943,1840041912
Gleed,Washington,46.6594,-120.6025,1840017370
Maryhill,Washington,45.6928,-120.8070,1840017403
Oyehut,Washington,47.0233,-124.1632,1840037697
Alder,Washington,46.7872,-122.2667,1840023829
Ridgefield,Washington,45.8116,-122.7052,1840019909
Bryant,Washington,48.2400,-122.1638,1840023772
Nisqually Indian Community,Washington,47.0178,-122.6728,1840074509
Porter,Washington,46.9489,-123.2736,1840023818
Kettle Falls,Washington,48.6055,-118.0620,1840019764
Chelan,Washington,47.8417,-120.0270,1840018369
Edison,Washington,48.5602,-122.4310,1840017314
Neilton,Washington,47.4031,-123.8782,1840018443
Fox Island,Washington,47.2475,-122.6255,1840037870
Renton,Washington,47.4758,-122.1905,1840019827
Baring,Washington,47.7661,-121.4803,1840017339
Hobart,Washington,47.4120,-121.9960,1840017344
Wallula,Washington,46.0847,-118.9056,1840018489
Touchet,Washington,46.0412,-118.6724,1840018488
Leavenworth,Washington,47.5948,-120.6633,1840019778
Fobes Hill,Washington,47.9391,-122.1341,1840037736
Harrington,Washington,47.4802,-118.2552,1840019819
Port Orchard,Washington,47.5164,-122.6610,1840019821
Alderwood Manor,Washington,47.8147,-122.2676,1840017323
Kennewick,Washington,46.1979,-119.1732,1840018481
Ahtanum,Washington,46.5583,-120.6109,1840017368
Wilderness Rim,Washington,47.4463,-121.7691,1840042145
Machias,Washington,47.9917,-122.0515,1840017325
Bingen,Washington,45.7139,-121.4704,1840018529
Four Lakes,Washington,47.5582,-117.5891,1840023784
Springdale,Washington,48.0572,-117.7466,1840022275
Washtucna,Washington,46.7538,-118.3106,1840022312
Covington,Washington,47.3668,-122.1044,1840018425
Allyn,Washington,47.3863,-122.8386,1840025251
North Sultan,Washington,47.8827,-121.8251,1840037859
Union Gap,Washington,46.5567,-120.4977,1840021152
Shelton,Washington,47.2188,-123.1127,1840021123
Chinook,Washington,46.2755,-123.9425,1840017374
Blaine,Washington,48.9839,-122.7414,1840018347
Port Hadlock-Irondale,Washington,48.0316,-122.7890,1840074571
Burley,Washington,47.4166,-122.6377,1840023793
Mount Vernon,Washington,48.4202,-122.3116,1840019774
Electric City,Washington,47.9220,-119.0475,1840021104
Ronald,Washington,47.2338,-121.0335,1840018438
Nespelem Community,Washington,48.1715,-119.0244,1840037116
Amanda Park,Washington,47.4532,-123.9194,1840023816
Clarkston Heights-Vineland,Washington,46.3876,-117.0831,1840073891
Boulevard Park,Washington,47.5135,-122.3159,1840037519
